Original JSON Order,Default State,Policy Override State,Description,Countries,GUID
1,disabled,enabled,Edge is uninstallable.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{1bca278a-5d11-4acf-ad2f-f9ab6d7f93a6}
2,disabled,enabled,User can disable web search.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{6002ce31-b807-4f82-820c-2b92e716ab76}
3,enabled,disabled,Narrator scripting extensions are enabled.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{6033b294-79ff-47eb-bbde-97b4c6479217}
4,disabled,disabled,File Explorer Search is third party extensible.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{63ef7a1e-95a1-4f7b-9d4c-b5ed8e72fe10}
5,enabled,disabled,First party File Explorer Search is allowed.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{ad2d9176-ef16-42de-ba5e-5f6e5a07abca}
6,disabled,enabled,SetAppAsDefault Public API exception for setting Edge as default,"CN, HK, MO, TW",{50db02cb-3f22-465b-9205-0e722c2caf0c}
7,disabled,enabled,"Default Apps settings extra types, one click pdf, pinning","AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{8e779eeb-377c-4373-9e80-56e164fdca7e}
8,disabled,enabled,Third party search providers show in search.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{f2775604-739c-4cd2-8463-eb040f7e8bf7}
9,disabled,enabled,Third party search highlight content in search zero input.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{e462341d-48bf-4a7f-9585-5a4e5b90a079}
10,enabled,enabled,First party search highlight content in search zero input.,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{13feefcf-0f8a-4df0-b85c-417cbcc68d27}
